t,i,q
-1.6596,-1.7391881,1.8030429
-1.6592,-1.7391881,1.8027716
-1.6588,-1.7394727,1.8027716
-1.6584,-1.7723715,1.8231583
-1.658,-1.8489023,1.8691692
-1.6576,-1.8540768,1.8721465
-1.6572,-1.8561052,1.8738388
-1.6568,-1.8562579,1.8741441
-1.6564,-1.8564934,1.8745605
-1.656,-1.8564934,1.8741535
-1.6556,-1.8564934,1.874146
-1.6552,-1.8562503,1.873673
-1.6548,-1.8561561,1.8735392
-1.6544,-1.8562089,1.873884
-1.654,-1.8559375,1.873673
-1.6536,-1.8567539,1.8745572
-1.6532,-1.9210424,1.9301839
-1.6528,-1.9541948,1.9599743
-1.6524,-1.9606887,1.9643249
-1.652,-1.962021,1.9651303
-1.6516,-1.962021,1.9645963
-1.6512,-1.9617855,1.964955
-1.6508,-1.9617855,1.9648545
-1.6504,-1.9616592,1.9648319
-1.65,-1.9613144,1.9648319
-1.6496,-1.9619312,1.9652722
-1.6492,-1.962021,1.9648319
-1.6488,-1.9617346,1.9648319
-1.6484,-1.9682288,1.9722926
-1.648,-2.0321675,2.0489008
-1.6476,-2.0495862,2.0676829
-1.6472,-2.0539092,2.0705975
-1.6468,-2.0540437,2.0709091
-1.6464,-2.0540437,2.0707151
-1.646,-2.0541944,2.0708432
-1.6456,-2.0537623,2.0704412
-1.6452,-2.0537296,2.070124
-1.6448,-2.0535016,2.070656
-1.6444,-2.0537296,2.0707904
-1.644,-2.0537296,2.0709091
-1.6436,-2.0537296,2.0710448
-1.6432,-2.0701073,2.097402
-1.6428,-2.1192754,2.1800402
-1.6424,-2.1268828,2.1874826
-1.642,-2.1281643,2.188764
-1.6416,-2.1288106,2.1894104
-1.6412,-2.1284488,2.1892351
-1.6408,-2.1286354,2.1888193
-1.6404,-2.1286354,2.1889248
-1.64,-2.1286354,2.1889054
-1.6396,-2.1286354,2.188764
-1.6392,-2.1282886,2.188585
-1.6388,-2.1284017,2.1889977
-1.6384,-2.1286354,2.1888922
-1.638,-2.161669,2.270999
-1.6376,-2.1753632,2.3099743
-1.6372,-2.1813187,2.3152182
-1.6368,-2.1823464,2.315884
-1.6364,-2.1824199,2.3164324
-1.636,-2.1824199,2.3152873
-1.6356,-2.1824896,2.3153344
-1.6352,-2.1822635,2.3155957
-1.6348,-2.1825688,2.3152477
-1.6344,-2.1826328,2.3153118
-1.634,-2.1824482,2.3149669
-1.6336,-2.1821844,2.3150988
-1.6332,-2.1860434,2.3321028
-1.6328,-2.2057283,2.4394385
-1.6324,-2.2093098,2.4468681
-1.632,-2.2140625,2.4501553
-1.6316,-2.214217,2.4509317
-1.6312,-2.2144432,2.4503966
-1.6308,-2.214234,2.4504343
