t, i, q
-1.692600E+00,-9.045E-03,-83.417E-03
-1.690100E+00,-10.553E-03,-78.894E-03
-1.687600E+00,-10.050E-03,-80.402E-03
-1.685100E+00,-7.538E-03,-82.915E-03
-1.682600E+00,-8.040E-03,-84.422E-03
-1.680100E+00,-6.030E-03,-80.905E-03
-1.677600E+00,-2.010E-03,-82.412E-03
-1.675100E+00,-3.518E-03,-83.920E-03
-1.672600E+00,+2.010E-03,-86.432E-03
-1.670100E+00,+503E-06,-87.940E-03
-1.667600E+00,+2.010E-03,-86.432E-03
-1.665100E+00,+6.030E-03,-88.442E-03
-1.662600E+00,+5.025E-03,-87.437E-03
-1.660100E+00,+4.020E-03,-87.437E-03
-1.657600E+00,+8.040E-03,-90.452E-03
-1.655100E+00,+8.543E-03,-90.452E-03
-1.652600E+00,+7.035E-03,-88.442E-03
-1.650100E+00,+14.070E-03,-88.442E-03
-1.647600E+00,+12.060E-03,-92.462E-03
-1.645100E+00,+15.578E-03,-88.945E-03
-1.642600E+00,+19.095E-03,-90.452E-03
-1.640100E+00,+15.578E-03,-88.442E-03
-1.637600E+00,+22.111E-03,-88.442E-03
-1.635100E+00,+22.111E-03,-88.945E-03
-1.632600E+00,+21.106E-03,-90.452E-03
-1.630100E+00,+26.131E-03,-91.457E-03
-1.627600E+00,+24.121E-03,-90.452E-03
-1.625100E+00,+25.628E-03,-89.950E-03
-1.622600E+00,+29.146E-03,-89.447E-03
-1.620100E+00,+29.648E-03,-88.442E-03
-1.617600E+00,+28.141E-03,-90.452E-03
-1.615100E+00,+32.663E-03,-88.442E-03
-1.612600E+00,+34.171E-03,-84.422E-03
-1.610100E+00,+38.191E-03,-86.432E-03
-1.607600E+00,+36.181E-03,-88.442E-03
-1.605100E+00,+36.683E-03,-86.935E-03
-1.602600E+00,+41.206E-03,-86.432E-03
-1.600100E+00,+40.704E-03,-84.925E-03
-1.597600E+00,+40.201E-03,-86.432E-03
-1.595100E+00,+46.231E-03,-82.915E-03
-1.592600E+00,+47.236E-03,-82.412E-03
-1.590100E+00,+46.231E-03,-85.427E-03
-1.587600E+00,+50.251E-03,-84.422E-03
-1.585100E+00,+48.744E-03,-82.412E-03
-1.582600E+00,+50.251E-03,-81.407E-03
-1.580100E+00,+51.759E-03,-80.402E-03
-1.577600E+00,+52.261E-03,-80.402E-03
-1.575100E+00,+54.271E-03,-79.397E-03
-1.572600E+00,+56.281E-03,-77.387E-03
-1.570100E+00,+56.281E-03,-78.392E-03
-1.567600E+00,+60.302E-03,-76.382E-03
-1.565100E+00,+60.302E-03,-75.377E-03
-1.562600E+00,+59.296E-03,-76.382E-03
-1.560100E+00,+63.819E-03,-72.864E-03
-1.557600E+00,+64.322E-03,-72.362E-03
-1.555100E+00,+62.312E-03,-71.859E-03
-1.552600E+00,+67.337E-03,-69.347E-03
-1.550100E+00,+66.332E-03,-69.849E-03
-1.547600E+00,+70.352E-03,-66.332E-03
-1.545100E+00,+69.849E-03,-66.332E-03
-1.542600E+00,+68.342E-03,-64.322E-03
-1.540100E+00,+73.367E-03,-63.819E-03
-1.537600E+00,+72.362E-03,-60.302E-03
-1.535100E+00,+73.869E-03,-62.312E-03
-1.532600E+00,+73.367E-03,-57.286E-03
-1.530100E+00,+73.869E-03,-58.291E-03
-1.527600E+00,+76.382E-03,-58.291E-03
-1.525100E+00,+76.382E-03,-54.271E-03
-1.522600E+00,+78.392E-03,-54.271E-03
-1.520100E+00,+76.382E-03,-52.764E-03
-1.517600E+00,+80.402E-03,-50.251E-03
-1.515100E+00,+78.894E-03,-50.754E-03
-1.512600E+00,+79.397E-03,-46.231E-03
-1.510100E+00,+78.392E-03,-46.231E-03
-1.507600E+00,+78.392E-03,-48.241E-03
-1.505100E+00,+80.402E-03,-40.201E-03
-1.502600E+00,+82.412E-03,-41.206E-03
-1.500100E+00,+82.412E-03,-40.704E-03
-1.497600E+00,+82.412E-03,-38.191E-03
-1.495100E+00,+85.427E-03,-38.191E-03
-1.492600E+00,+81.407E-03,-37.186E-03
-1.490100E+00,+82.915E-03,-34.171E-03
-1.487600E+00,+82.412E-03,-34.171E-03
-1.485100E+00,+82.915E-03,-28.141E-03
-1.482600E+00,+85.427E-03,-29.146E-03
-1.480100E+00,+83.920E-03,-28.643E-03
-1.477600E+00,+86.432E-03,-26.131E-03
-1.475100E+00,+82.915E-03,-24.623E-03
-1.472600E+00,+85.427E-03,-22.111E-03
-1.470100E+00,+83.920E-03,-21.106E-03
-1.467600E+00,+86.432E-03,-18.090E-03
-1.465100E+00,+86.432E-03,-21.608E-03
-1.462600E+00,+84.422E-03,-14.070E-03
-1.460100E+00,+84.422E-03,-14.573E-03
-1.457600E+00,+84.422E-03,-16.080E-03
-1.455100E+00,+82.412E-03,-11.558E-03
-1.452600E+00,+84.422E-03,-12.060E-03
-1.450100E+00,+83.920E-03,-5.025E-03
